# :  1 :  {(d11.txt, 1)}	
&#93; :  9 :  {(d1.txt, 1), (d11.txt, 17), (d14.txt, 90), (d15.txt, 2), (d17.txt, 225), (d2.txt, 7), (d4.txt, 259), (d6.txt, 16), (d8.txt, 5)}	
&amp; :  6 :  {(d10.txt, 116), (d13.txt, 2), (d2.txt, 2), (d5.txt, 4), (d7.txt, 1), (d8.txt, 1)}	
&apos;Agiotage :  1 :  {(d10.txt, 1)}	
&apos;Aiguillon :  1 :  {(d10.txt, 9)}	
&apos;Aiguilon :  1 :  {(d10.txt, 1)}	
&apos;Alembert :  1 :  {(d10.txt, 1)}	
&apos;Alencon :  1 :  {(d15.txt, 1)}	
&apos;Ambes :  1 :  {(d10.txt, 1)}	
&apos;Angers :  2 :  {(d10.txt, 2), (d15.txt, 1)}	
&apos;Anglas :  1 :  {(d10.txt, 4)}	
&apos;Angremont :  1 :  {(d10.txt, 1)}	
&apos;Ariel :  1 :  {(d14.txt, 3)}	
&apos;Aristocrate :  1 :  {(d10.txt, 1)}	
&apos;Assignats :  1 :  {(d10.txt, 1)}	
&apos;Auberge :  1 :  {(d15.txt, 1)}	
&apos;Auch :  1 :  {(d10.txt, 1)}	
&apos;Autichamp :  1 :  {(d10.txt, 1)}	
&apos;Auxerrois :  1 :  {(d10.txt, 2)}	
&apos;Ave :  1 :  {(d17.txt, 1)}	
