fc7d2571bc33525a4eb806570619bf08e0cc34ce70c736f8a44b90d6 [11802, 0]
89621ffa97cc6c0b6e2aeea79f2ce50ee6fdc6f83bbbc12b29bbf425 [12704, 0]
4f357e8b43d93a405625602a824e00f987c6b4ca07943212acfcfcef [12613, 0]
e252a95b7901d3b44666a07f496b6de50cd15ed4cc00090e20d463a2 [11628, 0]
2afa24ff62cd783432b761c344470c3e03e77ea91a6752b3876641c4 [14764, 0]
539b190f18bcad2cd6cbbfc35e9a24f4208d1cad7522de08bacd36ab [11986, 0]
58a10ee8f97f842260e19bf6f0bd64bf4983094f30e4609d9bdb880a [12937, 0]
95abe7713bd87c2726eb723d055e90017dd00ef89d91feb9682ca4dc [14481, 0]
ba55d4f22e2c1ebb4589dd9cea3884854fc5c2b74415ca798904c38a [11732, 0]
9b1617afcc819e7213a2317ce9189f20cd8781679d0d69aa9ff0de47 [11007, 0]
7da22a80a84bb3fd16bb3e17ee3ce0dbc63333916fabb2d75db83b3b [14452, 0]
bfc086769696fefbc7ee12782c4b9e440358c46043d8e97d5fd50769 [13805, 0]
562af88aa06b61014c597445dac2db4971dd580c75e8c1eaef3b3137 [12677, 0]
57158d19b4e5f4ffa7cc311e34d512d21ba8466cdb25badb9f590dd8 [12506, 0]
1ee08f571756a69125dbf679d54119b8ef4e75a8ee4edb2eed08c45f [10298, 0]
7e11f75ae352bf41a9aaec12bfb4a8d4f86ef4b744a0af7ef05b0fec [11559, 0]
5e14640b4b883069bb09e87520e12df75b0f94a0cf710bfa1bfc8c5e [11199, 0]
a3c0c70c41fd858c3885a7f024352c14b54435585493e18613d8d873 [12338, 0]
a67b6df6ca5b74fe9f2cd2454314aaf9dcfed84c743f9071bfa28e1a [14907, 0]
7380fbf80d0f9597cff72854d33d00ed2e07310b87566e450e67f909 [12804, 0]
