Episode,Total Reward,Mean Reward,Weights
1,17,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
2,23,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
3,5,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
4,17,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
5,15,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
6,5,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
7,21,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
8,8,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
9,25,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
10,14,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
11,26,0,"[  1.77810955e-03   0.00000000e+00   3.13479318e-03  -5.28615581e-05
  -1.35668363e-03   1.77810955e-03  -2.63038398e-05  -4.33589976e-06
   0.00000000e+00   0.00000000e+00]"
