Episode,Total Reward,Weights
1,0,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
2,14,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
3,9,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
4,17,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
5,18,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
6,11,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
7,5,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
8,6,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
9,23,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
10,25,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
11,19,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
12,4,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
13,10,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
14,5,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
15,18,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
16,9,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
17,21,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
18,12,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
19,15,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
20,15,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
21,31,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
22,23,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
23,16,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
24,28,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
25,22,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
26,30,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
27,10,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
29,18,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
30,14,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
31,2,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
32,12,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
33,15,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
34,12,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
35,10,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
36,17,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
37,37,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
38,11,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
39,6,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
40,11,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
41,25,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
42,29,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
43,27,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
44,12,"[  1.46497447e-03  -1.47570461e-05   2.90605409e-03  -4.76335832e-05
  -1.44107962e-03   1.46497447e-03   2.14601886e-06  -6.23216847e-06
   2.14601886e-06  -6.23216847e-06]"
